PMID,Abstract,PublishedYear
34984651,"Amyotrophic lateral sclerosis (ALS) is a devastating neurodegenerative disease where muscle weakness and neuromuscular junction (NMJ) denervation precede motor neuron cell death. Although acetylcholine is the canonical neurotransmitter at the mammalian NMJ synapse, glutamate has recently been identified as a critical neurotransmitter for NMJ development and maintenance. One source of glutamate is through the catabolism of N-acetyl-aspartyl-glutamate (NAAG), which is found in mM concentrations in mammalian motoneurons, where it is released upon stimulation and hydrolyzed to glutamate by the glial enzyme glutamate carboxypeptidase II (GCPII). Using the SOD1<sup>G93A</sup> model of ALS, we found an almost fourfold elevation of GCPII enzymatic activity in SOD1<sup>G93A</sup> versus WT muscle and a robust increase in GCPII expression which was specifically associated with activated macrophages infiltrating the muscle. 2-(Phosphonomethyl)pentanedioic acid (2PMPA) is a potent GCPII inhibitor which robustly blocks glutamate release from NAAG but is highly polar with limited tissue penetration. To improve this, we covalently attached 2PMPA to a hydroxyl polyamidoamine (PAMAM-G4-OH) dendrimer delivery system (D-2PMPA) which is known to target activated macrophages in affected tissues. Systemic D-2PMPA therapy (20 mg/kg 2PMPA equivalent; IP 2 × /week) was found to localize in muscle macrophages in SOD1<sup>G93A</sup> mice and completely normalize the enhanced GCPII activity. Although no changes in body weight or survival were observed, D-2PMPA significantly improved grip strength and inhibited the loss of NMJ innervation in the gastrocnemius muscles. Our finding that inhibiting elevated GCPII activity in SOD1<sup>G93A</sup> muscle can prolong muscle function and delay NMJ denervation may have early therapeutic implications for ALS patients.",2022
34880312,"Degeneration of brainstem serotonin neurons has been demonstrated in ALS patients and mouse models and was found responsible for the development of spasticity. Consistent with involvement of central serotonin pathways, 5-HT<sub>2B</sub> receptor (5-HT<sub>2B</sub>R) was upregulated in microglia of ALS mice. Its deletion worsened disease outcome in the Sod1<sup>G86R</sup> mouse model and led to microglial degeneration. In ALS patients, a polymorphism in HTR2B gene leading to higher receptor expression in CNS, was associated with increased survival in patients as well as prevention of microglial degeneration. Thus, the aim of our study was to determine the effect of a 5-HT<sub>2B</sub>R agonist : BW723C86 (BW), in the Sod1<sup>G86R</sup> mouse model. Despite good pharmacokinetic and pharmacological profiles, BW did not ameliorate disease outcome or motor neuron degeneration in a fast progressing mouse model of ALS despite evidence of modulation of microglial gene expression.",2021
34879411,"Amyotrophic lateral sclerosis (ALS) is an adult-onset motor neuron disorder which is characterized by progressive motor symptoms, such as muscle weakness, muscle atrophy and spasticity. In Germany, 6000-8000 people are affected by ALS. Between 1200 and 1600 newly diagnosed patients are expected each year. Protein deposits in the cytoplasm of motor neurons are a molecular feature of ALS. The most common protein aggregates result from excessive deposition of TDP-43. Familial ALS is present in 5 to 10 % of all ALS patients. Common causal genes include C9orf72, SOD1, FUS, and TARDBP. Genetic factors may be involved even without a family history of ALS and may be underestimated. The disease course and progression are highly variable. Symptom severity and rate of progression are determined by the ALS Functional Scale (ALSFRS-R). Beyond clinical symptoms and the patient's perception of disease burden, measurement of slow vital capacity (SVC), peak cough flow (PCF), and body mass index (BMI) are used to underscore the indications for ventilatory and nutritional interventions, as well as palliative care. The validity of the biomarker neurofilament light chain (NF-L) for estimating prognosis is currently being investigated. ALS is not curable - however, various individual treatment options have to be considered for improving survival, symptom control and social participation. The care in specialized ALS centers is recommended to ensure optimal treatment regarding symptomatic medication, assistive devices, nutrition support and ventilation therapy. Optimal care is achieved by interdisciplinary collaboration of general practitioners, specialized physicians, neurologists and ALS experts being integrated in multiprofessional care networks.",2021
34788402,"Pathogenic variants in SOD1, encoding superoxide dismutase 1, are responsible for about 20% of all familial amyotrophic lateral sclerosis cases, through a gain-of-function mechanism. Recently, two reports showed that a specific homozygous SOD1 loss-of-function variant is associated with an infantile progressive motor-neurological syndrome. Exome sequencing followed by molecular studies, including cDNA analysis, SOD1 protein levels and enzymatic activity, and plasma neurofilament light chain levels, were undertaken in an infant with severe global developmental delay, axial hypotonia and limb spasticity. We identified a homozygous 3-bp in-frame deletion in SOD1. cDNA analysis predicted the loss of a single valine residue from a tandem pair (p.Val119/Val120) in the wild-type protein, yet expression levels and splicing were preserved. Analysis of SOD1 activity and protein levels in erythrocyte lysates showed essentially no enzymatic activity and undetectable SOD1 protein in the child, whereas the parents had ∼50% protein expression and activity relative to controls. Neurofilament light chain levels in plasma were elevated, implying ongoing axonal injury and neurodegeneration. Thus, we provide confirmatory evidence of a second biallelic variant in an infant with a severe neurological syndrome and suggest that the in-frame deletion causes instability and subsequent degeneration of SOD1. We highlight the importance of the valine residues at positions V119-120, and suggest possible implications for future therapeutics research.",2022
34103575,"Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disease characterized by progressive muscle weakness. Skeletal muscle is a prime source for biomarker discovery since it is one of the earliest sites to manifest disease pathology. From a prior RNA sequencing project, we identified FGF23 as a potential muscle biomarker in ALS. Here, we validate this finding with a large collection of ALS muscle samples and found a 13-fold increase over normal controls. FGF23 was also increased in the SOD1<sup>G93A</sup> mouse, beginning at a very early stage and well before the onset of clinical symptoms. FGF23 levels progressively increased through end-stage in the mouse. Immunohistochemistry of ALS muscle showed prominent FGF23 immunoreactivity in the endomysial connective tissue and along the muscle membrane and was significantly higher around grouped atrophic fibers compared to non-atrophic fibers. ELISA of plasma samples from the SOD1<sup>G93A</sup> mouse showed an increase in FGF23 at end-stage whereas no increase was detected in a large cohort of ALS patients. In conclusion, FGF23 is a novel muscle biomarker in ALS and joins a molecular signature that emerges in very early preclinical stages. The early appearance of FGF23 and its progressive increase with disease progression offers a new direction for exploring the molecular basis and response to the underlying pathology of ALS.",2021
33950665,"Neuromuscular diseases result in muscle weakness, disability, and, in many instances, death. Preclinical models form the bedrock of research into these disorders, and the development of <i>in vivo</i> and potentially translational biomarkers for the accurate identification of disease is crucial. Spontaneous Raman spectroscopy can provide a rapid, label-free, and highly specific molecular fingerprint of tissue, making it an attractive potential biomarker. In this study, we have developed and tested an <i>in vivo</i> intramuscular fiber optic Raman technique in two mouse models of devastating human neuromuscular diseases, amyotrophic lateral sclerosis, and Duchenne muscular dystrophy (SOD1<sup>G93A</sup> and <i>mdx</i>, respectively). The method identified diseased and healthy muscle with high classification accuracies (area under the receiver operating characteristic curves (AUROC): 0.76-0.92). In addition, changes in diseased muscle over time were also identified (AUROCs 0.89-0.97). Key spectral changes related to proteins and the loss of α-helix protein structure. Importantly, <i>in vivo</i> recording did not cause functional motor impairment and only a limited, resolving tissue injury was seen on high-resolution magnetic resonance imaging. Lastly, we demonstrate that <i>ex vivo</i> muscle from human patients with these conditions produced similar spectra to those observed in mice. We conclude that spontaneous Raman spectroscopy of muscle shows promise as a translational research tool.",2021
33894192,"Amyotrophic lateral sclerosis (ALS) is considered to be caused by both genetic and environmental factors. The causal cascade is, however, not known. We aimed to assess lifestyle during the presymptomatic phase of ALS, stratified by C9orf72 mutation, and examine evidence supporting causality of lifestyle factors.",2021
33556455,"In amyotrophic lateral sclerosis (ALS), large motoneurons degenerate first, causing muscle weakness. Transgenic mouse models with a mutation in the gene encoding the enzyme superoxide dismutase 1 (SOD1) revealed that motoneurons innervating the fast-fatigable muscular fibres disconnect very early. The cause of this peripheric disconnection has not yet been established. Early pathological signs were described in motoneurons during the postnatal period of SOD1 transgenic mice. Here, we investigated whether the early changes of electrical and morphological properties previously reported in the SOD1<sup>G85R</sup> strain also occur in the SOD1<sup>G93A-low</sup> expressor line with particular attention to the different subsets of motoneurons defined by their discharge firing pattern (transient, sustained, or delayed-onset firing). Intracellular staining and recording were performed in lumbar motoneurons from entire brainstem-spinal cord preparations of SOD1<sup>G93A-low</sup> transgenic mice and their WT littermates during the second postnatal week. Our results show that SOD1<sup>G93A-low</sup> motoneurons exhibit a dendritic overbranching similar to that described previously in the SOD1<sup>G85R</sup> strain at the same age. Further we found an hypoexcitability in the delayed-onset firing SOD1<sup>G93A-low</sup> motoneurons (lower gain and higher voltage threshold). We conclude that dendritic overbranching and early hypoexcitability are common features of both low expressor SOD1 mutants (G85R and G93A-low). In the high-expressor SOD1<sup>G93A</sup> line, we found hyperexcitability in the sustained firing motoneurons at the same period, suggesting a delay in compensatory mechanisms. Overall, our results suggest that the hypoexcitability indicate an early dysfunction of the delayed-onset motoneurons and could account as early pathological signs of the disease.",2021
33498186,"Amyotrophic lateral sclerosis (ALS) is one of the most common neurodegenerative diseases, causing degeneration of both upper and lower motor neurons in the central nervous system (CNS). ALS patients suffer from hyperreflexia, spasticity, paralysis and muscle atrophy and typically die due to respiratory failure 1-5 years after disease onset. In addition to the degeneration of motor neurons on the cellular level, ALS has been associated with neuroinflammation, such as microgliosis. Microglial activation in ALS can either be protective or degenerative to the neurons. Among others, mutations in superoxide dismutase 1 (SOD1), chromosome 9 open reading frame 72 (C9Orf72), transactive response DNA binding protein (TDP) 43 and vacuolar protein sorting-associated protein 54 (VPS54) genes have been associated with ALS. Here, we describe the dual role and functionality of microglia in four different in vivo ALS models and search for the lowest common denominator with respect to the role of microglia in the highly heterogeneous disease of ALS.",2021
33409820,"Primary lateral sclerosis (PLS) is classically considered a 'pure' upper motor neuron disorder. Motor cortex atrophy and pyramidal tract degeneration are thought to be pathognomonic of PLS, but extra-motor cerebral changes are poorly characterized. In a prospective neuroimaging study, forty PLS patients were systematically evaluated with a standardised imaging, genetic and clinical protocol. Patients were screened for ALS and HSP associated mutations, as well as C9orf72 hexanucleotide repeats. Clinical assessment included composite reflex scores, spasticity scales, functional rating scales, and screening for cognitive and behavioural deficits. The neuroimaging protocol evaluated cortical atrophy patterns, subcortical grey matter changes and white matter alterations in whole-brain and region-of-interest analyses. PLS patients tested negative for known ALS- and HSP-associated mutations and C9orf72 repeat expansions. Voxel-wise analyses revealed anterior cingulate, dorsolateral prefrontal, insular, opercular, orbitofrontal and bilateral mesial temporal grey matter changes and white matter alterations in the fornix, brainstem, temporal lobes, and cerebellum. Significant thalamus, caudate, hippocampus, putamen and accumbens nucleus volume reductions were also identified. Extra-motor clinical manifestations were dominated by verbal fluency deficits, language deficits, apathy and pseudobulbar affect. Our clinical and radiological evaluation confirms considerable extra-motor changes in a population-based cohort of PLS patients. Our data suggest that PLS should no longer be considered a neurodegenerative disorder selectively affecting the pyramidal system. PLS is associated with widespread extra-motor changes and manifestations which should be carefully considered in the multidisciplinary management of this low-incidence condition.",2021
